Name,Mileage (Mi.),Dealer Name,Price ($),Rating,Rating_Count
2018 Mercedes-Benz E-Class E 400 4MATIC,"31,223 ",Mercedes-Benz of Fort Lauderdale,"50,892",4.6,963 
2020 Mercedes-Benz AMG C 43 Base 4MATIC,"11,284 ",Mercedes-Benz of Stevens Creek,"60,981",4.7,"1,271 "
2019 Mercedes-Benz S-Class S 560 4MATIC,"19,614 ",Mercedes-Benz of Catonsville,"102,990",4.2,360 
2020 Mercedes-Benz C-Class C 300,"48,458 ",W.I. Simonson Inc.,"33,488",4.6,761 
2020 Mercedes-Benz AMG E 63 S 4MATIC,"14,966 ",RBM of Atlanta,"114,320",4.9,997 
2021 Mercedes-Benz GLC 300 Base,"5,860 ",Mercedes-Benz of Encino,"45,998",3.4,77 
2018 Mercedes-Benz E-Class E 300,"11,395 ",Mercedes-Benz of Burlington,"44,990",4.7,249 
2018 Mercedes-Benz GLE 350 Base,"35,733 ",Mercedes-Benz of Arcadia,"40,499",4.8,"1,079 "
2018 Mercedes-Benz GLS 450 Base 4MATIC,"26,061 ",Fletcher Jones Motorcars,"58,892",4.8,"4,719 "
2019 Mercedes-Benz E-Class E 450,"26,059 ",Bobby Rahal Motorcar Company,"52,440",4.5,103 
2020 Mercedes-Benz GLE 350 Base 4MATIC,"15,912 ",Mercedes-Benz of Hanover,"61,465",4.6,443 
2017 Mercedes-Benz SL 450 Base,"5,878 ",Mercedes-Benz of North Scottsdale,"80,988",4.9,"1,071 "
2018 Mercedes-Benz GLC 300 Base,"49,383 ",RBM of Atlanta,"35,786",4.9,997 
2018 Mercedes-Benz GLE 350 Base 4MATIC,"18,780 ",Mercedes-Benz of Pleasanton,"42,928",2.5,46 
2019 Mercedes-Benz GLA 250 Base 4MATIC,"29,614 ",Mercedes-Benz of Chesterfield,"31,519",4.5,95 
2017 Mercedes-Benz E-Class E 300,"18,372 ",Mercedes-Benz of Springfield,"39,991",4.9,71 
2015 Mercedes-Benz S-Class S 550,"21,355 ",Star Motor Cars,"55,880",3.9,52 
2018 Mercedes-Benz S-Class S 450 4MATIC,"25,164 ",Mercedes-Benz of Arlington,"67,995",4.8,"2,171 "
2018 Mercedes-Benz GLC 300 Base 4MATIC,"36,838 ",Mercedes-Benz of Stevens Creek,"33,995",4.7,"1,271 "
2019 Mercedes-Benz E-Class E 450,"3,522 ",Bobby Rahal Motorcar Company,"56,550",4.5,103 
2018 Mercedes-Benz GLS 450 Base 4MATIC,"35,171 ",Mercedes-Benz of Ontario,"56,988",4.9,"1,741 "
